Wall time,Step,Value
1747096613.794174,4,0.0
1747096643.2225957,18,0.0
1747096684.6585593,40,2.0
1747096698.214668,47,1.0
1747096728.375488,62,0.0
1747096729.6490893,63,0.0
1747096748.0050864,71,0.0
1747096761.388734,77,2.0
1747096772.195141,82,1.0
1747096785.662528,89,1.0
1747096812.1519978,103,3.0
1747096820.8418496,107,0.0
1747096845.8348262,121,2.0
1747096860.8481793,128,0.0
1747096863.9695888,130,0.0
1747096911.5010157,157,1.0
1747096917.1566617,160,2.0
1747096921.5084822,162,3.0
1747096924.6174295,164,0.0
1747096942.6555526,172,3.0
1747096983.6816614,191,1.0
1747097006.4647815,203,1.0
1747097009.7414203,205,1.0
1747097058.0941575,229,1.0
1747097089.489958,244,1.0
1747097091.2469754,245,1.0
1747097119.4544783,259,3.0
1747097145.8899233,271,4.0
1747097151.3968801,274,0.0
1747097169.7910523,282,1.0
1747097176.2604136,285,1.0
1747097200.9332063,295,1.0
1747097244.3706782,316,1.0
1747097252.0123239,319,6.0
1747097257.9737885,322,2.0
1747097310.1495972,346,2.0
1747097338.2858257,358,1.0
1747097356.3843598,364,4.0
1747097361.2498808,366,2.0
1747097388.5736978,378,0.0
1747097407.181096,386,4.0
1747097414.3795297,390,0.0
1747097441.7805269,402,0.0
1747097470.2983465,415,3.0
1747097485.116905,422,0.0
1747097519.5157712,436,2.0
1747097521.2881439,437,1.0
1747097525.4999053,439,0.0
1747097541.504688,446,2.0
1747097573.188431,461,1.0
1747097581.568383,465,2.0
1747097606.6896653,475,1.0
1747097615.912491,480,0.0
1747097618.971252,481,4.0
1747097631.8354344,487,1.0
1747097680.3748455,510,0.0
1747097684.0138206,512,0.0
1747097685.7253401,513,0.0
1747097693.6439097,517,0.0
1747097727.7690916,533,0.0
1747097735.40868,538,0.0
1747097739.0505073,540,1.0
1747097764.916404,552,0.0
1747097773.9359577,556,0.0
1747097785.7452223,562,2.0
1747097839.5481677,590,0.0
1747097846.9393885,594,1.0
1747097851.2942657,596,2.0
1747097917.926176,628,1.0
1747097919.5041208,629,0.0
1747097937.6343565,637,0.0
1747097950.4657202,643,1.0
1747097953.2002873,644,3.0
1747097981.7741544,658,0.0
1747098000.8793888,667,1.0
1747098017.6010923,675,1.0
1747098056.0308943,694,1.0
1747098112.516581,721,2.0
1747098120.6742635,725,0.0
1747098160.8531585,744,1.0
1747098207.672351,764,1.0
1747098235.1532314,775,1.0
1747098237.401535,776,2.0
1747098250.518831,782,0.0
1747098266.0555375,788,1.0
1747098309.3832808,804,4.0
1747098311.354284,805,1.0
1747098315.5158606,807,0.0
1747098345.9361508,819,4.0
1747098377.7234879,832,4.0
1747098443.279259,857,3.0
1747098469.030847,866,2.0
1747098483.4935627,871,3.0
1747098526.9997911,886,4.0
1747098557.3363967,897,4.0
1747098569.8621209,901,12.0
1747098648.7010646,930,2.0
1747098684.718682,942,3.0
1747098703.8024826,949,4.0
1747098854.998348,999,3.0
1747098863.6658218,1002,2.0
1747098870.5106788,1004,5.0
1747098899.932097,1015,4.0
1747098920.5304358,1022,5.0
1747098931.6829755,1026,2.0
1747098938.781447,1028,1.0
1747098968.8460302,1037,7.0
1747099025.1814063,1056,1.0
1747099067.8013713,1070,1.0
1747099071.0697567,1071,4.0
1747099075.9071515,1073,2.0
1747099087.2281194,1077,1.0
1747099112.830475,1086,5.0
1747099149.8610687,1098,1.0
1747099160.090622,1102,2.0
1747099165.7083666,1104,3.0
1747099180.450794,1109,3.0
1747099184.4150622,1111,2.0
1747099209.949763,1121,5.0
1747099218.7105255,1125,0.0
1747099234.8183115,1132,2.0
1747099239.4665325,1134,2.0
1747099269.9217124,1146,1.0
1747099284.169215,1151,1.0
1747099286.1806087,1152,1.0
1747099316.243218,1164,1.0
1747099342.4353695,1174,1.0
1747099346.5490534,1176,2.0
1747099367.171985,1184,1.0
1747099389.6453056,1193,2.0
1747099393.274574,1194,6.0
1747099458.8766174,1218,3.0
1747099476.224632,1225,1.0
1747099529.1835606,1246,3.0
