Wall time,Step,Value
1746878462.0707166,1516,11.0
1746878494.966129,1528,4.0
1746878553.2222228,1548,8.0
1746878561.0704718,1551,5.0
1746878599.796088,1565,8.0
1746878608.5029747,1568,5.0
1746878622.6020653,1573,6.0
1746878629.7570453,1576,2.0
1746878657.848542,1585,5.0
1746878689.809382,1596,6.0
1746878704.7031362,1601,4.0
1746878709.9656358,1603,3.0
1746878782.4457426,1627,10.0
1746878805.5322685,1635,9.0
1746878811.874482,1637,8.0
1746878902.3760762,1670,3.0
1746878928.2775922,1679,6.0
1746878940.2069652,1685,1.0
1746878964.5709352,1694,5.0
1746878984.7592976,1702,7.0
1746878989.673676,1704,4.0
1746878998.7798114,1707,8.0
1746879010.2169883,1711,7.0
1746879031.124045,1718,4.0
1746879105.8129463,1745,1.0
1746879187.518725,1775,3.0
1746879193.3923428,1777,4.0
1746879225.3068292,1789,6.0
1746879233.2122548,1792,3.0
1746879256.4276485,1800,7.0
1746879398.3418963,1847,8.0
1746879408.1792986,1851,5.0
1746879437.4044573,1860,11.0
1746879452.71424,1865,7.0
1746879460.006357,1867,8.0
1746879522.8145657,1888,7.0
1746879558.8980918,1899,12.0
1746879568.249897,1902,6.0
1746879586.7588885,1908,7.0
1746879590.707642,1909,13.0
1746879634.444269,1924,7.0
1746879674.5004823,1936,13.0
1746879689.526319,1940,15.0
1746879703.8620734,1945,11.0
1746879711.181119,1947,7.0
1746879750.3965123,1960,16.0
1746879754.2880378,1961,8.0
1746879767.184447,1966,20.0
1746879804.260125,1977,15.0
1746879810.061215,1979,3.0
1746879833.2192173,1987,8.0
1746880086.2908065,2070,6.0
1746880118.6529415,2079,9.0
1746880145.658225,2089,10.0
1746880179.9040868,2100,8.0
1746880222.4025884,2114,5.0
1746880225.4820085,2115,6.0
1746880236.4780073,2119,7.0
1746880237.9480276,2120,1.0
1746880263.9939282,2127,8.0
1746880303.8006456,2139,3.0
1746880396.9667265,2169,8.0
1746880484.0293949,2194,13.0
1746880532.4410734,2209,5.0
1746880552.4562068,2215,12.0
1746880627.9721515,2239,7.0
1746880642.6654298,2244,5.0
1746880754.904329,2281,5.0
1746880862.3189337,2316,5.0
1746880871.1559124,2319,11.0
1746880949.8928757,2342,6.0
1746881003.3064487,2359,6.0
1746881102.1444943,2389,6.0
1746881113.6265097,2393,6.0
1746881117.5505688,2394,9.0
1746881258.5408945,2436,4.0
1746881273.7886715,2441,3.0
1746881313.3533201,2454,5.0
1746881339.1998212,2462,5.0
1746881348.4675472,2465,8.0
1746881411.5425053,2485,5.0
1746881432.1134002,2493,5.0
1746881443.3938866,2498,7.0
1746881461.9452658,2503,9.0
1746881508.2514446,2517,7.0
1746881513.9907918,2519,8.0
1746881542.3602164,2528,3.0
1746881547.6661046,2530,5.0
1746881666.8410583,2566,9.0
1746881707.5975418,2577,9.0
1746881710.1496809,2578,6.0
1746881740.5505657,2588,11.0
1746881782.369628,2599,10.0
1746881805.5011902,2606,8.0
1746881850.508736,2619,9.0
1746881876.9570873,2627,6.0
1746881880.3632474,2628,7.0
