Wall time,Step,Value
1747184523.4944115,1073,3.0
1747184537.1894598,1077,3.0
1747184569.4283066,1086,2.0
1747184614.0840724,1098,3.0
1747184629.2986863,1102,12.0
1747184638.4061193,1104,10.0
1747184654.4808514,1109,3.0
1747184661.1731632,1111,3.0
1747184688.2630916,1121,0.0
1747184700.4645822,1125,4.0
1747184718.9787993,1132,3.0
1747184726.0351095,1134,4.0
1747184762.6476922,1146,2.0
1747184780.2602913,1151,2.0
1747184785.108703,1152,9.0
1747184828.5696297,1164,4.0
1747184860.5493026,1174,1.0
1747184867.0941424,1176,4.0
1747184893.6689167,1184,3.0
1747184924.1170094,1193,3.0
1747184927.9517875,1194,5.0
1747185003.832641,1218,5.0
1747185031.1690264,1225,7.0
1747185105.6687937,1246,7.0
1747185123.5424135,1251,3.0
1747185127.7993183,1252,5.0
1747185133.437296,1254,1.0
1747185144.1366742,1257,4.0
1747185158.7357454,1261,5.0
1747185177.3726325,1267,3.0
1747185192.5599716,1271,3.0
1747185208.7013292,1276,6.0
1747185288.6438663,1298,4.0
1747185319.693881,1306,3.0
1747185374.5262415,1322,4.0
1747185386.8853688,1325,5.0
1747185461.1569655,1345,5.0
1747185514.9793212,1360,4.0
1747185528.7569892,1364,4.0
1747185568.3705688,1375,5.0
1747185572.0777445,1376,4.0
1747185730.2452211,1417,5.0
1747185812.086703,1438,2.0
1747185815.6723266,1439,5.0
1747185883.3273318,1457,2.0
1747185888.246017,1458,8.0
1747185943.2007093,1474,7.0
1747185949.5322716,1476,2.0
1747186002.8306494,1490,5.0
1747186018.4517395,1494,8.0
1747186054.92218,1502,6.0
1747186084.4998915,1510,6.0
1747186095.4639785,1513,3.0
1747186105.9654288,1516,2.0
1747186153.7225583,1528,8.0
1747186226.2884817,1548,4.0
1747186236.439241,1551,3.0
1747186287.8572667,1565,4.0
1747186299.0031214,1568,5.0
1747186316.418961,1573,3.0
1747186329.0732422,1576,6.0
1747186368.8371568,1585,5.0
1747186413.658757,1596,5.0
1747186435.3704436,1601,5.0
1747186443.0554688,1603,5.0
1747186536.3372777,1627,4.0
1747186565.441422,1635,4.0
1747186572.4440467,1637,5.0
1747186696.9756448,1670,8.0
1747186729.818666,1679,4.0
1747186752.1661525,1685,5.0
1747186785.5434108,1694,2.0
1747186815.9292526,1702,5.0
1747186821.657783,1704,4.0
1747186832.8622978,1707,5.0
1747186845.9809065,1711,4.0
1747186872.8436875,1718,7.0
1747186982.9141495,1745,2.0
1747187095.7151587,1775,5.0
1747187103.6352732,1777,5.0
1747187149.4935496,1789,4.0
1747187161.5062327,1792,4.0
1747187193.0238016,1800,4.0
1747187370.7694564,1847,9.0
1747187386.3084846,1851,5.0
1747187427.3301904,1860,6.0
1747187446.8763382,1865,3.0
1747187454.6019258,1867,3.0
1747187542.12257,1888,6.0
1747187583.40286,1899,3.0
1747187597.5490375,1902,9.0
1747187619.4485254,1908,1.0
1747187624.083282,1909,6.0
1747187681.5508964,1924,4.0
1747187728.7505898,1936,7.0
1747187745.7967248,1940,7.0
1747187762.5514627,1945,1.0
1747187771.6361134,1947,7.0
1747187832.1663425,1960,6.0
1747187836.8821363,1961,6.0
1747187854.7655182,1966,4.0
1747187905.2822106,1977,6.0
1747187912.0104656,1979,4.0
1747187946.0114434,1987,5.0
1747188287.126761,2070,7.0
1747188324.166403,2079,5.0
1747188366.7223163,2089,4.0
1747188404.6579661,2100,4.0
1747188464.7439241,2114,6.0
1747188469.6502764,2115,10.0
1747188487.1924841,2119,3.0
1747188491.9692206,2120,6.0
1747188519.854902,2127,5.0
1747188572.4574757,2139,3.0
1747188694.8775418,2169,4.0
1747188794.5937166,2194,6.0
1747188860.3485777,2209,6.0
1747188886.6536467,2215,5.0
1747188992.8168855,2239,5.0
1747189018.6144896,2244,8.0
1747189175.529187,2281,3.0
1747189332.8210359,2316,12.0
1747189343.5681922,2319,7.0
1747189427.5072908,2342,3.0
1747189506.6685321,2359,5.0
1747189632.6496837,2389,4.0
1747189651.3534713,2393,7.0
1747189655.728087,2394,9.0
1747189834.852383,2436,7.0
1747189853.8197377,2441,3.0
1747189906.4639134,2454,6.0
1747189942.2129824,2462,10.0
1747189957.3729255,2465,8.0
1747190048.978554,2485,6.0
1747190081.5423863,2493,12.0
1747190104.0613742,2498,6.0
1747190126.8973176,2503,4.0
1747190185.4884572,2517,7.0
1747190193.8063111,2519,6.0
1747190237.653962,2528,12.0
1747190244.9943836,2530,7.0
1747190389.5835779,2566,7.0
1747190444.702128,2577,10.0
1747190449.3060925,2578,7.0
1747190492.8442457,2588,5.0
1747190542.859458,2599,4.0
1747190571.5830562,2606,7.0
1747190629.67626,2619,3.0
1747190666.6470933,2627,11.0
1747190670.9243498,2628,7.0
1747190703.0775316,2635,8.0
1747190724.7932844,2639,10.0
1747190741.99939,2643,6.0
1747190825.7281125,2662,4.0
1747190864.5463378,2670,6.0
1747190870.6330273,2671,10.0
1747190882.2998168,2674,2.0
1747190908.299232,2681,5.0
1747190924.4140117,2684,8.0
1747190936.9540048,2686,10.0
1747190948.64995,2689,5.0
1747190968.1840954,2693,9.0
1747191008.131822,2702,13.0
1747191036.4096744,2708,8.0
1747191060.4992812,2713,9.0
1747191078.8691883,2717,6.0
1747191131.5660527,2729,8.0
1747191135.616051,2730,6.0
1747191152.5638542,2734,7.0
1747191178.5147114,2739,10.0
1747191184.0793693,2740,11.0
